timestamp,fps,ear_left,ear_right,ear_average,mar,perclos,yaw,pitch,roll,gaze_direction,driver_state
1788115920.531,0,0.233,0.216,0.225,0.004,0.000,12.7,159.4,-1.5,UNKNOWN,UNKNOWN
1788115920.549,58,0.234,0.217,0.226,0.004,0.000,12.2,154.7,-0.8,UNKNOWN,UNKNOWN
1788115920.568,48,0.231,0.228,0.230,0.005,0.000,13.2,155.8,-0.4,UNKNOWN,UNKNOWN
1788115920.587,54,0.228,0.237,0.233,0.005,0.000,13.4,155.4,-0.5,UNKNOWN,UNKNOWN
1788115920.604,53,0.234,0.241,0.238,0.005,0.000,13.2,155.1,-0.5,UNKNOWN,UNKNOWN
1788115920.629,41,0.219,0.239,0.229,0.005,0.000,13.6,156.2,-0.7,UNKNOWN,UNKNOWN
1788115920.659,34,0.212,0.228,0.220,0.004,0.000,13.4,154.6,-0.5,UNKNOWN,UNKNOWN
1788115920.691,30,0.216,0.231,0.223,0.004,0.000,13.2,155.1,-0.6,UNKNOWN,UNKNOWN
1788115920.727,28,0.215,0.233,0.224,0.005,0.000,14.0,155.6,-0.4,UNKNOWN,UNKNOWN
1788115920.758,30,0.215,0.242,0.229,0.004,0.000,13.9,153.8,-0.6,UNKNOWN,UNKNOWN
1788115920.802,24,0.214,0.252,0.233,0.004,0.000,14.2,154.9,-0.5,UNKNOWN,UNKNOWN
1788115920.836,27,0.214,0.236,0.225,0.006,0.000,14.0,154.6,-0.5,UNKNOWN,UNKNOWN
1788115920.869,30,0.219,0.224,0.221,0.003,0.000,13.8,154.7,-0.5,UNKNOWN,UNKNOWN
1788115920.899,33,0.237,0.227,0.232,0.004,0.000,13.5,155.6,-0.4,UNKNOWN,UNKNOWN
1788115920.933,29,0.222,0.232,0.227,0.005,0.000,13.9,155.7,-0.3,UNKNOWN,UNKNOWN
1788115920.964,33,0.228,0.234,0.231,0.005,0.000,14.1,156.1,-0.2,UNKNOWN,UNKNOWN
1788115920.995,30,0.215,0.227,0.221,0.005,0.000,13.7,155.4,-0.2,UNKNOWN,UNKNOWN
1788115921.027,31,0.216,0.231,0.223,0.004,0.000,13.5,155.4,-0.2,UNKNOWN,UNKNOWN
1788115921.059,31,0.225,0.240,0.232,0.004,0.000,13.7,155.5,-0.4,UNKNOWN,UNKNOWN
1788115921.091,31,0.223,0.235,0.229,0.004,0.000,13.9,154.7,-0.3,UNKNOWN,UNKNOWN
1788115921.123,30,0.223,0.233,0.228,0.005,0.000,13.9,155.8,-0.2,UNKNOWN,UNKNOWN
1788115921.172,20,0.227,0.232,0.230,0.005,0.000,13.7,156.0,-0.2,UNKNOWN,UNKNOWN
1788115921.204,31,0.220,0.240,0.230,0.004,0.000,13.2,155.4,-0.2,UNKNOWN,UNKNOWN
1788115921.236,31,0.231,0.242,0.236,0.004,0.000,13.7,155.7,-0.2,UNKNOWN,UNKNOWN
1788115921.268,31,0.212,0.236,0.224,0.005,0.000,14.0,155.8,-0.3,UNKNOWN,UNKNOWN
1788115921.300,30,0.218,0.243,0.231,0.003,0.000,13.1,154.3,-0.3,UNKNOWN,UNKNOWN
1788115921.332,31,0.210,0.233,0.222,0.003,0.000,13.4,153.8,-0.1,UNKNOWN,UNKNOWN
1788115921.364,32,0.211,0.243,0.227,0.005,0.000,13.9,154.3,-0.2,UNKNOWN,UNKNOWN
1788115921.395,31,0.205,0.240,0.223,0.002,0.000,13.4,153.8,-0.1,UNKNOWN,UNKNOWN
1788115921.428,30,0.208,0.247,0.228,0.004,0.000,13.4,154.3,-0.2,UNKNOWN,UNKNOWN
1788115921.461,30,0.206,0.238,0.222,0.005,0.000,14.1,155.6,-0.2,UNKNOWN,UNKNOWN
1788115921.493,31,0.198,0.245,0.221,0.003,0.000,13.9,154.5,-0.1,UNKNOWN,UNKNOWN
1788115921.539,20,0.207,0.235,0.221,0.003,0.000,13.2,154.7,-0.4,UNKNOWN,UNKNOWN
1788115921.572,31,0.209,0.245,0.227,0.004,0.000,13.6,154.2,-0.1,UNKNOWN,UNKNOWN
1788115921.603,31,0.208,0.231,0.219,0.003,0.000,13.3,154.6,-0.1,UNKNOWN,UNKNOWN
1788115921.635,31,0.210,0.232,0.221,0.004,0.000,13.8,154.8,-0.0,UNKNOWN,UNKNOWN
1788115921.667,31,0.208,0.240,0.224,0.003,0.000,13.4,154.4,-0.1,UNKNOWN,UNKNOWN
1788115921.700,30,0.213,0.236,0.225,0.004,0.000,13.1,154.2,-0.1,UNKNOWN,UNKNOWN
1788115921.733,31,0.216,0.234,0.225,0.003,0.000,12.8,155.5,0.0,UNKNOWN,UNKNOWN
1788115921.763,33,0.215,0.229,0.222,0.004,0.000,12.9,155.7,0.1,UNKNOWN,UNKNOWN
1788115921.795,30,0.208,0.233,0.220,0.004,0.000,12.9,154.9,0.3,UNKNOWN,UNKNOWN
1788115921.828,30,0.200,0.234,0.217,0.002,0.000,13.4,155.0,0.4,UNKNOWN,UNKNOWN
1788115921.859,32,0.206,0.234,0.220,0.005,0.000,13.4,154.7,0.4,UNKNOWN,UNKNOWN
1788115921.906,21,0.206,0.238,0.222,0.004,0.000,13.4,154.5,0.5,UNKNOWN,UNKNOWN
1788115921.940,29,0.204,0.238,0.221,0.004,0.000,13.4,154.6,0.6,UNKNOWN,UNKNOWN
1788115921.971,30,0.195,0.225,0.210,0.003,0.000,13.3,155.4,0.6,UNKNOWN,UNKNOWN
1788115922.005,31,0.203,0.234,0.218,0.006,0.000,13.0,155.5,0.8,UNKNOWN,UNKNOWN
1788115922.034,32,0.202,0.230,0.216,0.007,0.000,14.0,155.3,0.8,UNKNOWN,UNKNOWN
1788115922.068,29,0.203,0.226,0.214,0.006,0.000,13.5,155.7,1.0,UNKNOWN,UNKNOWN
1788115922.100,32,0.210,0.231,0.220,0.004,0.000,13.2,155.0,0.9,UNKNOWN,UNKNOWN
1788115922.131,33,0.205,0.222,0.214,0.005,0.000,12.9,155.9,0.9,UNKNOWN,UNKNOWN
1788115922.163,29,0.205,0.225,0.215,0.005,0.000,13.2,155.7,0.9,UNKNOWN,UNKNOWN
1788115922.195,31,0.212,0.235,0.223,0.005,0.000,13.5,155.6,0.8,UNKNOWN,UNKNOWN
1788115922.228,30,0.212,0.220,0.216,0.005,0.000,13.2,155.5,0.9,UNKNOWN,UNKNOWN
1788115922.275,21,0.213,0.215,0.214,0.003,0.000,13.0,155.5,1.0,UNKNOWN,UNKNOWN
1788115922.308,30,0.206,0.216,0.211,0.003,0.000,13.0,155.1,0.9,UNKNOWN,UNKNOWN
1788115922.339,32,0.201,0.225,0.213,0.004,0.000,13.3,155.0,0.7,UNKNOWN,UNKNOWN
1788115922.371,31,0.208,0.242,0.225,0.004,0.000,13.0,154.7,0.8,UNKNOWN,UNKNOWN
1788115922.404,30,0.197,0.232,0.215,0.005,0.000,13.3,154.3,0.5,UNKNOWN,UNKNOWN
1788115922.436,30,0.197,0.224,0.211,0.003,0.000,13.1,155.9,0.4,UNKNOWN,UNKNOWN
1788115922.468,31,0.204,0.233,0.218,0.003,0.000,13.1,155.3,0.3,UNKNOWN,UNKNOWN
1788115922.501,30,0.196,0.209,0.203,0.003,0.000,12.8,156.1,0.2,UNKNOWN,UNKNOWN
1788115922.532,31,0.208,0.216,0.212,0.003,0.000,13.2,156.1,0.1,UNKNOWN,UNKNOWN
